Miestas,2019,2011,2001,1989,1979,1970,1959,1923,1897,Nr
Jurbarkas,9831,11232,13797,14310,10644,6541,4422,4409,7400,30
Raseiniai,9784,11203,12541,13211,11403,8946,6200,5270,7455,31
Vilkaviškis,9621,11547,13283,13829,11836,8452,5072,7263,5788,32
Anykščiai,8632,10575,11958,12758,10325,8250,5442,3500,3900,33
Prienai,8516,9867,11353,11909,9398,7550,5423,3260,2477,34
Joniškis,8358,9899,11329,11773,9303,7488,5889,4100,4828,35
Varėna,7987,9240,10845,12291,8015,4478,2401,407,2624,36
Kelmė,7655,9150,10900,11557,9073,6934,5140,2900,3914,37
Kaišiadorys,7486,8664,10002,10964,9022,4618,3011,1929,833,38
Naujoji Akmenė,7266,9300,12345,13590,14195,10127,5400,0,0,39
